ཀླད་ཀོར,  ༠, 0
གཉག, གཉོག, གཉོགས, གཉགས
རྒྱ, རྒྱས
རྦད, རྦོད
སླེ, བསླེ, བསླེས, སླེས
འབག, འབགས
སྡོད, བསྡད
གཅུན, འཆུན, བཅུན, ཆུན, འཇུན
འབུངས, འབུང
གཏན, གཏོན
བཞོར, བཞར, གཞོར, གཞར
བསམ, སོམས, བསམས, སེམས
སྟིམས, སྟིམ, བསྟིམས, བསྟིམ
འཕྲ, ཕྲ
དཀྱོག, དཀྱོགས
དམྱུག, དམྱུགས
གཙོག, བཙོགས, བཙོག, ཚོག, འཚོག, འཚོགས
བསྟན, སྟོན
གཙགས, གཙོགས, གཙག
འཁུར, ཁུར
རྐམ, བརྐམ, བརྐམས, རྐོམས
བླུད, ལྡུད
སྣོར, བསྣར, སྣར
གློངས, གློང
སྐུལ, བསྐུལ
ལོབ, ལོབས
འཚུད, ཚུད
གནན, གནོན, ནོན, མནན
སྙོབས, བསྙབ, བསྙབས, སྙོབ
ཁེང, ཁེངས
བདུངས, བདུང
བརྩེ, བརྩེས, རྩེས, རྩེ
སྐྱེ, སྐྱེས
རྨོ, རྨེད, རྨོས, རྨོད
བཀྲུམས, དཀྲུམ, དཀྲུམས
ཕྲིས, འཕྲི, དབྲི, ཕྲི
འགྱུར, གྱུར
རུབས, རུབ
མཐུད, འཐུད
ཚུམས, འཚུམ, བཙུམ, བཙུམས
བསལ, སོལ, སེལ
འབུད, བུད, བུས
ཕབ, འབེབས, དབབ, ཕོབ
སྲུན, བསྲུན
མངོགས, མངགས, མངག
གཟོགས, གཟགས, གཟག
ཟློས, བཟློ, ཟློ
འཇུ, འཇུས, བཞུ, བཞུས, ཞུ
འཐིབ, འཐིབས
གཉོག, གཉོགས
སྐུང, སྐུངས, བསྐུངས, བསྐུང
འཇུ, འཇུས
ལྡེ, ལྡེས
ཆོར, གཅོར, བཅར, གཅར
སྒོག, བསྒགས, བསྒག, སྒོགས
སྲུབ, བསྲུབ, བསྲུབས, སྲུབས
སྐོལ, བསྐོལ
བསྒྲིན, སྒྲིན
བདལ, གདལ, གདོལ
བཀད, འགད, ཁོད, དགད
བརྙང, རྙང, བརྙངས, རྙོངས
བསྒྲུང, སྒྲུང, སྒྲུངས, བསྒྲུངས
བཀྱག, ཁྱོགས, ཁྱོག, བཀྱགས
སྙོར, བསྙོར
བརྗེ, རྗེ, བརྗེས, རྗེས
འབུས, འབུ
བཀྱག, ཁྱོགས, འགྱོག, བཀྱགས
འབྱོ, བྱོ
འབྲ, བྲེས
འབྱུང, བྱུང
